2025-12-30 04:20:13.774654 | 192.168.203.133 -> 192.168.203.2 | UDP | Sport: 60383, Dport: 53
2025-12-30 04:20:13.782037 | 192.168.203.133 -> 192.168.203.2 | UDP | Sport: 60383, Dport: 53
2025-12-30 04:20:13.794357 | 192.168.203.133 -> 192.168.203.2 | UDP | Sport: 51955, Dport: 53
2025-12-30 04:20:13.801874 | 192.168.203.133 -> 192.168.203.2 | UDP | Sport: 51955, Dport: 53
2025-12-30 04:20:13.809995 | 192.168.203.133 -> 192.168.203.2 | UDP | Sport: 42164, Dport: 53
2025-12-30 04:20:13.813935 | 192.168.203.133 -> 192.168.203.2 | UDP | Sport: 42164, Dport: 53
2025-12-30 04:20:13.846590 | 192.168.203.2 -> 192.168.203.133 | UDP | Sport: 53, Dport: 60383
2025-12-30 04:20:13.847875 | 192.168.203.2 -> 192.168.203.133 | UDP | Sport: 53, Dport: 60383
2025-12-30 04:20:13.848981 | 192.168.203.2 -> 192.168.203.133 | UDP | Sport: 53, Dport: 51955
2025-12-30 04:20:13.850083 | 192.168.203.2 -> 192.168.203.133 | UDP | Sport: 53, Dport: 51955
2025-12-30 04:20:13.850584 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43334, Dport: 443
2025-12-30 04:20:13.863373 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43348, Dport: 443
2025-12-30 04:20:13.864602 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43360, Dport: 443
2025-12-30 04:20:13.871699 | 192.168.203.133 -> 192.168.203.2 | UDP | Sport: 44023, Dport: 53
2025-12-30 04:20:13.885427 | 192.168.203.133 -> 34.36.137.203 | TCP | Sport: 40190, Dport: 443
2025-12-30 04:20:13.891973 | 192.168.203.133 -> 192.168.203.2 | UDP | Sport: 44023, Dport: 53
2025-12-30 04:20:13.903022 | 192.168.203.2 -> 192.168.203.133 | UDP | Sport: 53, Dport: 42164
2025-12-30 04:20:13.917680 | 192.168.203.2 -> 192.168.203.133 | UDP | Sport: 53, Dport: 42164
2025-12-30 04:20:13.926979 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57700, Dport: 443
2025-12-30 04:20:13.932937 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43334
2025-12-30 04:20:13.938657 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43334, Dport: 443
2025-12-30 04:20:13.940149 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43334, Dport: 443
2025-12-30 04:20:13.946860 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43334
2025-12-30 04:20:13.950472 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43360
2025-12-30 04:20:13.954471 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43360, Dport: 443
2025-12-30 04:20:13.959721 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43360, Dport: 443
2025-12-30 04:20:13.968521 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43360
2025-12-30 04:20:13.984907 | 192.168.203.2 -> 192.168.203.133 | UDP | Sport: 53, Dport: 44023
2025-12-30 04:20:13.988991 | 34.36.137.203 -> 192.168.203.133 | TCP | Sport: 443, Dport: 40190
2025-12-30 04:20:13.994355 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43348
2025-12-30 04:20:13.996429 | 192.168.203.133 -> 34.36.137.203 | TCP | Sport: 40190, Dport: 443
2025-12-30 04:20:14.004662 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43348, Dport: 443
2025-12-30 04:20:14.007091 | 192.168.203.2 -> 192.168.203.133 | UDP | Sport: 53, Dport: 44023
2025-12-30 04:20:14.012478 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43348, Dport: 443
2025-12-30 04:20:14.017833 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43348
2025-12-30 04:20:14.018624 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57700
2025-12-30 04:20:14.019230 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57700, Dport: 443
2025-12-30 04:20:14.025050 | 192.168.203.133 -> 34.36.137.203 | TCP | Sport: 40190, Dport: 443
2025-12-30 04:20:14.028115 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57700, Dport: 443
2025-12-30 04:20:14.031955 | 34.36.137.203 -> 192.168.203.133 | TCP | Sport: 443, Dport: 40190
2025-12-30 04:20:14.033213 | 34.36.137.203 -> 192.168.203.133 | TCP | Sport: 443, Dport: 40190
2025-12-30 04:20:14.036663 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57700
2025-12-30 04:20:14.044437 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43334
2025-12-30 04:20:14.048651 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43334, Dport: 443
2025-12-30 04:20:14.051779 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43360
2025-12-30 04:20:14.055485 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43348
2025-12-30 04:20:14.063344 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43360, Dport: 443
2025-12-30 04:20:14.064606 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43348, Dport: 443
2025-12-30 04:20:14.067804 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43334, Dport: 443
2025-12-30 04:20:14.091004 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43334
2025-12-30 04:20:14.095795 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57700
2025-12-30 04:20:14.098449 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57700, Dport: 443
2025-12-30 04:20:14.104553 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43360, Dport: 443
2025-12-30 04:20:14.110508 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43360
2025-12-30 04:20:14.112124 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43334
2025-12-30 04:20:14.121872 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43348, Dport: 443
2025-12-30 04:20:14.122838 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43348
